date,timestamp,client,p10,p25,p50,p75,p90
2023_07_01,1688169600000,desktop,77.63,324.77,1010.57,2704.01,6224.36
2023_07_01,1688169600000,mobile,58.35,247.6,863.46,2414.11,5648.9
2023_06_01,1685577600000,desktop,78.66,325.75,1009.15,2693.01,6180.72
2023_06_01,1685577600000,mobile,58.38,247.63,857.99,2398.8,5606.01
2023_05_01,1682899200000,desktop,80.13,323.46,1003.54,2675.59,6129.5
2023_05_01,1682899200000,mobile,59.43,247.64,852.49,2384.24,5563.42
2023_04_01,1680307200000,desktop,81.59,326.24,1003.51,2663.92,6085.83
2023_04_01,1680307200000,mobile,60.2,248.04,856.42,2382.18,5543.76
2023_03_01,1677628800000,desktop,81.94,325.59,995.5,2633.6,6014.96
2023_03_01,1677628800000,mobile,60.45,246.86,848.52,2361.39,5485.22
2023_02_01,1675209600000,desktop,78.89,320.09,988.87,2629.07,6010.32
2023_02_01,1675209600000,mobile,58.26,243.17,840.64,2350.85,5466.81
2023_01_01,1672531200000,desktop,79.81,322.2,993.58,2632.21,5998.94
2023_01_01,1672531200000,mobile,57.75,242.91,845.06,2356.82,5479.51
2022_12_01,1669852800000,desktop,78.64,322.22,997.44,2641.85,6011.68
2022_12_01,1669852800000,mobile,57.85,244.63,851.61,2371.29,5494.24
2022_11_01,1667260800000,desktop,79.85,323.34,998.39,2641.03,5999.46
2022_11_01,1667260800000,mobile,58.34,245.24,853.35,2365.23,5476.74
2022_10_01,1664582400000,desktop,80.56,324.67,1001.05,2642.01,6009.34
2022_10_01,1664582400000,mobile,60.8,251.16,864.73,2387.31,5507.88
2022_09_01,1661990400000,desktop,82.29,330.36,1013.49,2660.56,6028.67
2022_09_01,1661990400000,mobile,61.38,253.97,869.48,2391.34,5499.92
2022_08_01,1659312000000,desktop,80.77,327.95,1010.18,2653.97,6000.68
2022_08_01,1659312000000,mobile,60.13,254.07,875.94,2408.07,5517.74
2022_07_01,1656633600000,desktop,94.96,347.74,1039.49,2701.13,6069.72
2022_07_01,1656633600000,mobile,68.4,267.55,893.12,2426.23,5528.9
2022_06_01,1654041600000,desktop,85.75,335.0,1032.14,2703.02,6083.54
2022_06_01,1654041600000,mobile,66.83,264.47,887.21,2410.66,5489.03
2022_05_01,1651363200000,desktop,85.12,333.74,1026.74,2689.51,6053.93
2022_05_01,1651363200000,mobile,64.44,259.64,876.55,2388.7,5446.6
2022_04_01,1648771200000,desktop,80.38,307.21,961.34,2560.27,5800.41
2022_04_01,1648771200000,mobile,64.68,264.61,893.73,2419.11,5446.15
2022_03_01,1646092800000,desktop,78.35,302.5,946.85,2527.79,5738.66
2022_03_01,1646092800000,mobile,63.37,259.11,877.85,2388.82,5407.54
2022_02_01,1643673600000,desktop,79.47,303.23,945.47,2525.85,5734.97
2022_02_01,1643673600000,mobile,63.65,258.65,876.32,2384.04,5382.7
2022_01_01,1640995200000,desktop,82.49,310.79,957.76,2539.01,5710.1
2022_01_01,1640995200000,mobile,63.07,255.79,860.22,2299.42,4989.12
2021_12_01,1638316800000,desktop,81.2,312.54,967.56,2558.36,5746.83
2021_12_01,1638316800000,mobile,62.19,256.77,866.34,2314.38,5010.7
2021_11_01,1635724800000,desktop,82.21,314.64,970.69,2557.8,5721.76
2021_11_01,1635724800000,mobile,63.77,261.95,876.3,2327.17,5019.29
2021_10_01,1633046400000,desktop,84.58,319.41,979.58,2570.52,5728.58
2021_10_01,1633046400000,mobile,64.78,262.6,879.35,2330.13,5011.85
2021_09_01,1630454400000,desktop,86.94,324.32,990.19,2585.7,5734.95
2021_09_01,1630454400000,mobile,66.5,264.04,883.36,2333.66,5014.37
2021_08_01,1627776000000,desktop,86.2,322.55,988.48,2575.74,5706.84
2021_08_01,1627776000000,mobile,63.83,260.67,881.86,2330.68,5001.22
2021_07_01,1625097600000,desktop,86.7,322.52,983.73,2558.14,5659.42
2021_07_01,1625097600000,mobile,65.97,263.97,884.81,2328.44,4988.94
2021_06_01,1622505600000,desktop,85.17,317.68,973.48,2525.1,5591.98
2021_06_01,1622505600000,mobile,65.42,262.76,882.9,2321.99,4971.15
2021_05_01,1619827200000,desktop,85.19,316.86,969.67,2511.01,5543.43
2021_05_01,1619827200000,mobile,65.39,264.21,883.38,2315.48,4946.83
2021_04_01,1617235200000,desktop,83.17,312.37,959.21,2485.46,5484.16
2021_04_01,1617235200000,mobile,63.96,260.97,873.43,2291.33,4905.75
2021_03_01,1614556800000,desktop,81.93,303.73,932.89,2423.94,5360.8
2021_03_01,1614556800000,mobile,65.2,263.81,877.25,2290.71,4895.62
2021_02_01,1612137600000,desktop,79.95,299.35,925.65,2413.59,5337.98
2021_02_01,1612137600000,mobile,62.31,258.35,868.84,2278.43,4863.5
2021_01_01,1609459200000,desktop,80.15,305.63,948.1,2455.46,5408.65
2021_01_01,1609459200000,mobile,62.91,265.73,902.82,2385.86,5208.68
2020_12_01,1606780800000,desktop,79.62,305.86,953.23,2467.38,5405.6
2020_12_01,1606780800000,mobile,62.2,264.78,897.61,2335.89,4932.32
2020_11_01,1604188800000,desktop,80.3,304.34,944.1,2441.51,5356.24
2020_11_01,1604188800000,mobile,64.76,268.57,892.63,2316.62,4909.7
2020_10_01,1601510400000,desktop,87.91,322.25,973.41,2481.05,5390.91
2020_10_01,1601510400000,mobile,66.69,274.41,902.99,2326.18,4915.47
2020_09_01,1598918400000,desktop,93.82,337.43,999.5,2513.77,5442.64
2020_09_01,1598918400000,mobile,70.0,287.7,923.87,2355.33,4960.1
2020_08_01,1596240000000,desktop,92.8,336.94,1004.31,2522.77,5456.44
2020_08_01,1596240000000,mobile,65.36,280.66,919.87,2357.79,4971.44
2020_07_01,1593561600000,desktop,89.0,328.03,982.8,2474.45,5362.39
2020_07_01,1593561600000,mobile,66.87,283.85,927.41,2364.92,4975.08
2020_06_01,1590969600000,desktop,82.62,310.77,947.21,2405.18,5225.85
2020_06_01,1590969600000,mobile,60.08,262.36,885.11,2291.76,4841.46
2020_05_01,1588291200000,desktop,78.67,306.68,949.56,2410.98,5226.57
2020_05_01,1588291200000,mobile,60.17,264.05,886.85,2288.68,4820.53
2020_04_01,1585699200000,desktop,83.37,321.25,978.58,2450.06,5285.79
2020_04_01,1585699200000,mobile,62.76,273.87,908.6,2318.88,4865.64
2020_03_01,1583020800000,desktop,97.66,351.24,1026.32,2529.59,5428.02
2020_03_01,1583020800000,mobile,68.45,291.16,935.58,2362.25,4937.3
2020_02_01,1580515200000,desktop,68.51,302.23,949.81,2415.25,5243.12
2020_02_01,1580515200000,mobile,55.25,259.07,879.69,2273.51,4805.94
2020_01_01,1577836800000,desktop,76.23,310.63,968.17,2435.14,5271.45
2020_01_01,1577836800000,mobile,54.78,255.33,871.14,2258.31,4776.96
2019_12_01,1575158400000,desktop,78.2,318.62,983.93,2459.32,5320.7
2019_12_01,1575158400000,mobile,57.32,268.81,889.45,2285.33,4819.64
2019_11_01,1572566400000,desktop,78.61,319.37,980.83,2445.88,5287.45
2019_11_01,1572566400000,mobile,59.17,268.79,894.9,2286.01,4808.72
2019_10_01,1569888000000,desktop,78.58,319.64,982.25,2441.61,5260.31
2019_10_01,1569888000000,mobile,59.04,262.37,891.01,2276.59,4784.92
2019_09_01,1567296000000,desktop,78.68,319.2,980.29,2432.46,5238.6
2019_09_01,1567296000000,mobile,58.84,262.46,891.73,2272.13,4770.21
2019_08_01,1564617600000,desktop,79.62,320.57,981.44,2431.9,5222.54
2019_08_01,1564617600000,mobile,60.55,265.97,893.52,2272.84,4765.07
2019_07_01,1561939200000,desktop,80.4,322.79,987.2,2439.75,5228.26
2019_07_01,1561939200000,mobile,62.53,270.37,898.48,2277.9,4757.13
2019_06_01,1559347200000,desktop,77.61,315.33,971.51,2408.85,5158.19
2019_06_01,1559347200000,mobile,56.3,257.55,870.54,2228.34,4675.65
2019_05_01,1556668800000,desktop,78.79,317.01,971.46,2400.07,5125.19
2019_05_01,1556668800000,mobile,57.31,258.82,866.05,2221.11,4659.12
